HadoopWordcount,2022-11-05,16:35:26,33394,26.444,1262,315,
HadoopPagerank,2022-11-05,16:36:25,10797,50.458,213,53,
HadoopTerasort,2022-11-05,16:37:05,12800000,27.716,461827,115456,
HadoopWordcount,2022-11-05,16:37:40,33394,26.574,1256,314,
HadoopPagerank,2022-11-05,16:38:40,10797,50.584,213,53,
HadoopTerasort,2022-11-05,16:39:19,12800000,27.525,465031,116257,
HadoopWordcount,2022-11-05,16:39:54,33394,26.661,1252,313,
HadoopPagerank,2022-11-05,16:40:53,10797,50.354,214,53,
HadoopTerasort,2022-11-05,16:41:33,12800000,27.766,460995,115248,
HadoopWordcount,2022-11-05,16:42:08,33394,26.514,1259,314,
HadoopPagerank,2022-11-05,16:43:07,10797,49.355,218,54,
HadoopTerasort,2022-11-05,16:43:47,12800000,28.698,446024,111506,
HadoopWordcount,2022-11-05,16:44:22,33394,26.402,1264,316,
HadoopPagerank,2022-11-05,16:45:22,10797,50.421,214,53,
HadoopTerasort,2022-11-05,16:46:02,12800000,27.822,460067,115016,
HadoopWordcount,2022-11-05,16:46:37,33394,26.300,1269,317,
HadoopPagerank,2022-11-05,16:47:33,10797,47.625,226,56,
HadoopTerasort,2022-11-05,16:48:12,12800000,26.523,482600,120650,
HadoopWordcount,2022-11-05,16:48:47,33394,26.393,1265,316,
HadoopPagerank,2022-11-05,16:49:45,10797,49.789,216,54,
HadoopTerasort,2022-11-05,16:50:26,12800000,28.572,447991,111997,
HadoopWordcount,2022-11-05,16:51:01,33394,26.744,1248,312,
HadoopPagerank,2022-11-05,16:52:00,10797,49.734,217,54,
HadoopTerasort,2022-11-05,16:52:39,12800000,27.302,468830,117207,
HadoopWordcount,2022-11-05,16:53:12,33394,24.378,1369,342,
HadoopPagerank,2022-11-05,16:54:09,10797,47.538,227,56,
HadoopTerasort,2022-11-05,16:54:50,12800000,28.844,443766,110941,
HadoopWordcount,2022-11-05,16:55:25,33394,26.420,1263,315,
HadoopPagerank,2022-11-05,16:56:23,10797,49.712,217,54,
HadoopTerasort,2022-11-05,16:57:03,12800000,27.934,458222,114555,
HadoopWordcount,2022-11-05,16:57:39,33394,26.610,1254,313,
HadoopPagerank,2022-11-05,16:58:38,10797,50.493,213,53,
HadoopTerasort,2022-11-05,16:59:18,12800000,27.546,464677,116169,
HadoopWordcount,2022-11-05,16:59:54,33394,27.289,1223,305,
HadoopPagerank,2022-11-05,17:00:54,10797,51.290,210,52,
HadoopTerasort,2022-11-05,17:03:24,320000000,31.696,10095911,2523977,
HadoopWordcount,2022-11-05,17:04:08,325830789,35.322,9224584,2306146,
HadoopPagerank,2022-11-05,17:06:40,1813330,142.520,12723,3180,
HadoopTerasort,2022-11-05,17:07:22,320000000,30.683,10429227,2607306,
HadoopWordcount,2022-11-05,17:08:06,325830789,35.450,9191277,2297819,
HadoopPagerank,2022-11-05,17:10:45,1813330,150.593,12041,3010,
HadoopTerasort,2022-11-05,17:11:29,320000000,31.755,10077153,2519288,
HadoopWordcount,2022-11-05,17:12:15,325830789,37.442,8702280,2175570,
HadoopPagerank,2022-11-05,17:14:44,1813330,139.764,12974,3243,
HadoopTerasort,2022-11-05,17:15:26,320000000,31.024,10314595,2578648,
HadoopWordcount,2022-11-05,17:16:15,325830789,39.638,8220162,2055040,
HadoopPagerank,2022-11-05,17:18:50,1813330,146.257,12398,3099,
HadoopTerasort,2022-11-05,17:19:35,320000000,33.735,9485697,2371424,
HadoopWordcount,2022-11-05,17:20:22,325830789,37.820,8615303,2153825,
HadoopPagerank,2022-11-05,17:22:55,1813330,144.454,12552,3138,
HadoopTerasort,2022-11-05,17:23:38,320000000,30.784,10395010,2598752,
HadoopWordcount,2022-11-05,17:24:24,325830789,37.374,8718113,2179528,
HadoopPagerank,2022-11-05,17:26:52,1813330,139.613,12988,3247,
HadoopTerasort,2022-11-05,17:27:35,320000000,31.550,10142630,2535657,
HadoopWordcount,2022-11-05,17:28:22,325830789,37.565,8673786,2168446,
HadoopPagerank,2022-11-05,17:31:02,1813330,151.612,11960,2990,
HadoopTerasort,2022-11-05,17:31:46,320000000,31.962,10011889,2502972,
HadoopWordcount,2022-11-05,17:32:34,325830789,38.620,8436840,2109210,
HadoopPagerank,2022-11-05,17:35:07,1813330,144.772,12525,3131,
HadoopTerasort,2022-11-05,17:35:52,320000000,32.584,9820770,2455192,
HadoopWordcount,2022-11-05,17:36:37,325830789,36.520,8921982,2230495,
HadoopPagerank,2022-11-05,17:39:10,1813330,144.621,12538,3134,
HadoopTerasort,2022-11-05,17:39:54,320000000,31.110,10286081,2571520,
HadoopWordcount,2022-11-05,17:40:43,325830789,40.584,8028552,2007138,
HadoopPagerank,2022-11-05,17:43:17,1813330,144.721,12529,3132,
HadoopTerasort,2022-11-05,17:44:02,320000000,32.924,9719353,2429838,
HadoopWordcount,2022-11-05,17:44:46,325830789,35.494,9179883,2294970,
HadoopPagerank,2022-11-05,17:47:23,1813330,148.523,12209,3052,
HadoopTerasort,2022-11-05,17:48:05,320000000,29.810,10734652,2683663,
HadoopWordcount,2022-11-05,17:48:54,325830789,39.617,8224519,2056129,
HadoopPagerank,2022-11-05,17:51:34,1813330,151.576,11963,2990,
HadoopTerasort,2022-11-05,17:52:17,320000000,31.592,10129146,2532286,
HadoopWordcount,2022-11-05,17:53:06,325830789,39.469,8255359,2063839,
HadoopPagerank,2022-11-05,17:55:37,1813330,142.820,12696,3174,
HadoopTerasort,2022-11-05,17:56:22,320000000,33.161,9649889,2412472,
HadoopWordcount,2022-11-05,17:57:08,325830789,36.578,8907835,2226958,
HadoopPagerank,2022-11-05,17:59:39,1813330,142.426,12731,3182,
HadoopTerasort,2022-11-05,18:00:23,320000000,31.854,10045834,2511458,
HadoopWordcount,2022-11-05,18:01:11,325830789,39.654,8216845,2054211,
HadoopPagerank,2022-11-05,18:03:47,1813330,146.474,12379,3094,
HadoopTerasort,2022-11-05,18:04:30,320000000,31.883,10036696,2509174,
HadoopWordcount,2022-11-05,18:05:18,325830789,39.368,8276539,2069134,
HadoopPagerank,2022-11-05,18:07:51,1813330,143.337,12650,3162,
HadoopTerasort,2022-11-05,18:11:51,800000000,44.752,17876296,4469074,
HadoopWordcount,2022-11-05,20:16:03,0,19.510,0,0,
