LineId,ThreadID,User,Content,EventId,EventTemplate,ParameterList
22,2,main,display device/nNE9000-20-LS's Device status:/n-------------------------------------------------------------------/nSlot # Type  Online   Register      Status    Role  Lsld  Primary/n-------------------------------------------------------------------/n5        LPU   Present  Registered  Normal  LC      3       NA/n8        LPU   Present  Registered  Normal  LC      3       NA/n12      LPU   Present  Registered  Normal  LC      3       NA/n23      LPU   Present  Registered  Normal  MMB 3       Master/n-------------------------------------------------------------------/n/n,d74d333e,display <*> Device status # Type Online Register Status Role Lsld Primary LPU Present Registered Normal LC NA LPU Present Registered Normal LC NA LPU Present Registered Normal LC NA LPU Present Registered Normal MMB Master,[]
23,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display license/n,0015a174,[ .] ] <*> <*>,[]
24,2,main,display license/nActive Lisense : cfcard:/LICNE9000_V800R021_20210802BAE85C.xml/nLisense state : Demo/nRevoke ticket : No ticket/nLicense mode : commom/n/nItem name         Item type           Value             Description/n-------------------------------------------------------------------/nLCR959GRAD0Q        --                 400               NetEngine9000 500M Upgrade to 10G Port Enable  RTU (per 500M)/nLCR959GRAD0Q       Resource       400               NetEngine9000 500M Upgrade to 10G Port Enable  RTU (per 500M)/nLCR959GRAS 00        --                 1                   NetEngine9000 Virtual System Function License/nLCR959GRAN00        Fuction         Yes               NetEngine9000 IP Performance Measure Licence (IP FPM)/n/nItem name           (View)Resource License Command-Line/n-------------------------------------------------------------------/nLCR9S9KXL3V1L    (License)active port-I3vpn slot <slot-id> card <card-id> port <port-list>/nLCR9S9KXL231L    (Slot)I3vpn capacity enhance enable/nLCR9S7KXL4V1L    (License)active port-I3vpn slot <slot-id> card <card-id> port <port-list>/nLCR9S8KXL5V1L    (License)active port-I3vpn slot <slot-id> card <card-id> port <port-list>/n/n,210afada,display license Lisense cfcard state Demo ticket No ticket mode commom name Item type Value Description NetEngine9000 500M Upgrade to 10G Port Enable RTU (per 500M) Resource NetEngine9000 500M Upgrade to 10G Port Enable RTU (per 500M) NetEngine9000 Virtual System Function License Fuction Yes NetEngine9000 IP Performance Measure Licence (IP FPM) name (View)Resource License CommandLine (License)active portI3vpn slot <slotid> card <cardid> port <portlist> (Slot)I3vpn capacity enhance enable (License)active portI3vpn slot <slotid> card <cardid> port <portlist> (License)active portI3vpn slot <slotid> card <cardid> port <portlist>,[]
25,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display patch verbose/n,dfca21e4,[ .] ] display <*> <*>,[]
26,2,main,display patch verbose/nInfo: No patch exists./nThe current state is: Idle/nBoard Info:/n----------------------------------------/nSlot-id PatchType Count/n----------------------------------------/n-       -        -/n----------------------------------------/n/n,9ca309f7,display patch verbose No patch exists. current state is Idle Info PatchType Count,[]
27,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display module-information/n,0015a174,[ .] ] <*> <*>,[]
28,2,main,display module-information/n                        Module-information/n-------------------------------------------------------------------/nModule    Version       InstallTime      PackageName/n-------------------------------------------------------------------/nRM         V200R212SPH200       2021-05-21 09:53:19      V200R212SPH-NE9000_0521_3356_RM_CMS_mir.MOD/nequipment         V200R212SPH013       2021-05-21 09:53:19      V200R212SPH-NE9000_3356_RM_CMS_mir.MOD/nLI        V200R212SPH012       2021-05-21 09:53:19      V200R212SPH-NE9000_0521_3356_RM_CMS_mir.MOD/npiaobai        V200R212SPH001       2021-05-21 09:53:19      V200R212SPH-NE9000_RM_CMS_mir.MOD/n-------------------------------------------------------------------/n/n,c5433a48,display moduleinformation Moduleinformation Version InstallTime PackageName <*> V200R212SPHNE9000___RM_CMS_mir.MOD <*> V200R212SPHNE9000__RM_CMS_mir.MOD <*> V200R212SPHNE9000___RM_CMS_mir.MOD <*> V200R212SPHNE9000_RM_CMS_mir.MOD,[]
29,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display startup/n,0015a174,[ .] ] <*> <*>,[]
30,2,main,display startup/nMainBoard: /n Configured startup sysytem software:   cfcard:/NE9000_V90012BOBO.cc/n startup sysytem software:   cfcard:/NE9000_V900129988.cc/n Next startup sysytem software:   cfcard:/NE9000_V90012.cc/n Startup paf file:   default/n Next Startup paf file:   default/n Startup patch package:   NULL/n Next Startup patch package:   NULL/nSlaveBoard: /n Configured startup sysytem software:   cfcard:/NE9000_V9001255BO.cc/n startup sysytem software:   cfcard:/NE9000_V900178988.cc/n Next startup sysytem software:   cfcard:/NE9000_V9kl012.cc/n Startup paf file:   default/n Next Startup paf file:   default/n Startup patch package:   NULL/n Next Startup patch package:   NULL/n/n,a116ae26,display startup Configured startup sysytem software cfcard startup sysytem software cfcard Next startup sysytem software cfcard Startup paf file default Next Startup paf file default Startup patch package NULL Next Startup patch package NULL Configured startup sysytem software cfcard startup sysytem software cfcard Next startup sysytem software cfcard Startup paf file default Next Startup paf file default Startup patch package NULL Next Startup patch package NULL,[]
31,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: system/n,e4ed21c7,[ .] ] <*>,[]
32,2,main,"system/nEnter system view, return view with return command./n/n",66700b14,system system view return view with return command.,[]
33,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: diagnose/n,e4ed21c7,[ .] ] <*>,[]
34,2,main,"diagnose/nWarning: Enter system view, return view with return command./n/n",04ce2e16,diagnose Enter system view return view with return command.,[]
35,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: commit/n,e4ed21c7,[ .] ] <*>,[]
36,2,main,commit/n/n,fffca4d6,commit,[]
37,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display data-channel/n,0015a174,[ .] ] <*> <*>,[]
38,2,main,display data-channel/n/n,1d4d98b2,display datachannel,[]
39,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display ptn-mode/n,0015a174,[ .] ] <*> <*>,[]
40,2,main,display ptn-mode/n                             ^/nError: command found at '^' position/n/n,1114f574,display ptnmode ^ command found at '^' position,[]
41,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display vrcb/n,0015a174,[ .] ] <*> <*>,[]
42,2,main,display vrcb/nSystem Version: V900jiojhjo000/nVRP Version: V900CPPo000/nVIST Version: vist12.335699989/nOSAL Version: VPP V900CPPo000/nPSE Version: VPP V900CPPo000/n/n,ba9b4a82,display vrcb Version <*> Version <*> Version vist12. Version VPP <*> Version VPP V900CPPo,[]
43,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: return/n,e4ed21c7,[ .] ] <*>,[]
44,2,main,return/n/n,e70c4df1,return,[]
45,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display slot 7 chipisolate state/n,91f54610,[ .] ] display slot chipisolate state,[]
46,2,main,display slot 7 chipisolate state/n/n,dfbe412b,display slot chipisolate state,[]
47,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display anti-theft status/n,dfca21e4,[ .] ] display <*> <*>,[]
48,2,main,display anti-theft status/n-----------------------------------------/n                 NP state/n-----------------------------------------/n                 TM state/n-----------------------------------------/n/n,bae043e3,display antitheft status NP state TM state,[]
49,2,main,version = 1.22.33.89/n,2af72f10,version,[]
50,2,main,vrp_version = 1.22.33.89/n,606a4fdc,vrp_version,[]
51,2,main,ne_type = 1.22.33.89/n,a3eed93e,ne_type,[]
52,2,main,ipn = Router/n/n,5fdc7442,ipn Router,[]
53,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display access-user/n,0015a174,[ .] ] <*> <*>,[]
54,2,main,display access-user/n-----------------------------------------/nTotal users               :3/nIPv4  users               :3/nIPv6  users               :3/nLac users               :3/nRUI local users               :3/nRUI remote users               :3/nAccounting ready               :3/nAccounting state               :3/n-----------------------------------------/n/n,264ae41d,display accessuser users users users users local users remote users ready state,[]
55,2,main,"ERROR, execute cmd: '( /usr/hdp/3.0.1.0-187/hadoop/bin/yarn node -list 2> /dev/null | grep RUNNING )' timedout./n  STDOUT:/n/n  STDERR:/n/n",114579f2,ERROR execute cmd '( node list > grep RUNNING )' timedout. STDOU STDER,[]
56,2,main,please set `CPTS.masters.hostnames` and `CPTS.slaves.hostnames` manually/n,724b83ea,please set and manually,[]
57,2,main,/home/user/CPTS3/bin/functions/workload_functions.sh: line 38: filename argument required/n,6cbeeb9b,line filename argument required,[]
58,2,main,nohup: ignoring input/n,6139f9f7,nohup ignoring input,[]
59,2,main,====== Start Process ======/n,2f565ae7,Start Process,[]
60,2,main,Password for user@BIGDATA: /n,87da0faa,Password for <*>,['user@BIGDATA: /n']
61,2,main,==================== Start execute CPTS test ======================/n,efbf959f,Start execute CPTS test,[]
62,2,main,mkdir: cannot create directory '/home/user/results': File exists/n,41527ab9,mkdir cannot create directory ' File exists,[]
63,2,main,mkdir: cannot create directory '/home/user/results/job3': File exists/n,41527ab9,mkdir cannot create directory ' File exists,[]
64,2,main,mkdir: cannot create directory '/home/user/results/job2': File exists/n,41527ab9,mkdir cannot create directory ' File exists,[]
65,2,main,mkdir: cannot create directory '/home/user/results/job1': File exists/n/n,41527ab9,mkdir cannot create directory ' File exists,[]
66,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display ipv6 prefix/n,dfca21e4,[ .] ] display <*> <*>,[]
67,2,main,display ipv6 prefix/n                             ^/nError: command found at '^' position/n/n,23735514,display ipv6 prefix ^ command found at '^' position,[]
68,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display ip pool/n,dfca21e4,[ .] ] display <*> <*>,[]
69,2,main,display ip pool/n/nIP address pool Statistic/nLocal : 1    Remote: 1    Server: 1   /nIP address Statistic/nTotal    :3         Used    :3         Ratio    :3         /n/n,5ee772f7,display ip pool address pool Statistic Remote Server address Statistic Used Ratio,[]
70,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: quit/n,e4ed21c7,[ .] ] <*>,[]
71,2,main,quit/n/n,dbd73c2b,quit,[]
72,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: cd//n,e4ed21c7,[ .] ] <*>,[]
73,2,main,cd//n/n,6865aeb3,cd,[]
74,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: pwd/n,e4ed21c7,[ .] ] <*>,[]
75,2,main,pwd/n/n,9003d1df,pwd,[]
76,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: system-view/n,e4ed21c7,[ .] ] <*>,[]
77,2,main,"system-view/nEnter system view, return command./n/n",5b194734,systemview system view return command.,[]
78,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display commit list/n,dfca21e4,[ .] ] display <*> <*>,[]
79,2,main,display commit list/n--------------------------------------------------------------------------------------/nNo.  commitID     Label        User                    TimeStamp/n1     10052358        _           ne900112             2021-09-18 12:56:12/n2     10052359        _           ne900112             2021-09-18 12:56:13/n3     10052360        _           ne900112             2021-09-18 12:56:14/n4     10052362       va1           ne900112             2021-09-18 12:56:15/n5     10052363      bbb          ne900112             2021-09-18 12:56:16/n6     10052364      commit_label          ne900112             2021-09-18 12:56:17/n7     10052365     20210918          ne900112             2021-09-18 12:56:18/n--------------------------------------------------------------------------------------/n /n,906da756,display commit list commitID Label User TimeStamp _ ne900112 _ ne900112 _ ne900112 va1 ne900112 bbb ne900112 commit_label ne900112 ne900112,[]
80,3,main,patching args=/n,02a79fe4,patching args,[]
81,3,main,Parsing conf: /home/user/CPTS3/conf/hadoop.conf/n,2543f246,Parsing conf,[]
82,3,main,Parsing conf: /home/user/CPTS3/conf/CPTS.conf/n,2543f246,Parsing conf,[]
83,3,main,Parsing conf: /home/user/CPTS3/conf/spark.conf/n,2543f246,Parsing conf,[]
84,3,main,Parsing conf: /home/user/CPTS3/conf/workloads/micro/job3.conf/n,2543f246,Parsing conf,[]
85,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: quit/n,e4ed21c7,[ .] ] <*>,[]
86,2,main,quit/n/n,dbd73c2b,quit,[]
87,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: dir auto_9.08.100.56.cfg/n,e4ed21c7,[ .] ] <*>,[]
88,2,main,"dir auto_9.08.100.56.cfg/nDirectory of cfcard://n/nIdx    Attr      Size(Byte)            Date         Time          FileName/n0      -rw-      22,344        April 23 2011  14:13:23     auto_9.08.100.56.cfg/n/n5,435,330 KB total (2,435,330 KB free)/n/n",925162ee,dir of cfcard Attr Size(Byte) Date Time FileName rw April KB total ( KB free),[]
89,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: clear configuration commit label begin_rollback/n,e3421f7a,[ .] ] clear configuration commit label begin_rollback,[]
90,2,main,clear configuration commit label begin_rollback/n                         ^/nError: command found at '^' position/n/n,c998a6b9,<*> <*> <*> <*> <*> <*> command found at '^' position,[]
91,2,789993848599303,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: rollback confuguration to file auto_9.08.100.56.cfg/n,89abf748,[ .] ] rollback confuguration to file,[]
92,2,789993848599303,Warning: This operation will revert configuration changes to the file auto_9.08.100.56.cfg. Continue? [Y/N]:/n,61576754,Warning This operation will revert configuration changes to the file Continue? [Y,[]
93,2,789993848599303,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: Y/n,e4ed21c7,[ .] ] <*>,[]
94,2,789993848599303,Y/nWarning: Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y/N]:/n,bad28af4,Y Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y,[]
95,2,789993848599304,[2019-01-11 15:00:13.135] {DTA}[8.36.200.27 26]: Y/n,e4ed21c7,[ .] ] <*>,[]
96,2,789993848599304,Y/nWarning: Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y/N]:/n,bad28af4,Y Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y,[]
97,2,789993848599303,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: N/n,e4ed21c7,[ .] ] <*>,[]
98,2,789993848599303,"N/nWarning: Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y/N]:Y/nLoading rollback changes./nCommitting/nCheck rollback result./nConfiguration rollback finished, but there are still several differences./nPlease use 'display configuration rollback result' to view the differences./nPlease use 'display configuration rollback result' to view the changes./n/n",8728a1fb,N Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y rollback changes. rollback result. rollback finished but there are still several differences. use 'display configuration rollback result' to view the differences. use 'display configuration rollback result' to view the changes.,[]
99,2,789993848599303,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display configuration rollback result/n,74a29647,[ .] ] display configuration rollback result,[]
100,2,789993848599303,display configuration rollback result/n!There are still several differences as follow:/n bbb/n-local-user ne8809090 password hohuhu999/n+local-user ne8809090 password hohuhu9999/n #/n license/n+ active network-slice flex-channel 2000 slot 18/n+ active network-slice flex-channel 2000 slot 19/n+ active network-slice flex-channel 2000 slot 11/n+ active network-slice flex-channel 2000 slot 12/n+ active network-slice flex-channel 2000 slot 13/n+ active network-slice flex-channel 2000 slot 14/n #/n interface GigabitEthernet5/0/8/n- undo dcn/n #/n interface GigabitEthernet5/0/9/n- undo dcn/n #/n interface GigabitEthernet5/0/7/n- undo dcn/n #/n interface GigabitEthernet5/0/6/n- undo dcn/n #/n interface GigabitEthernet5/0/5/n- undo dcn/n #/n interface GigabitEthernet5/0/4/n- undo dcn/n #/n interface GigabitEthernet4/0/8/n- undo dcn/n #/n interface GigabitEthernet4/0/9/n- undo dcn/n #/n interface GigabitEthernet4/0/7/n- undo dcn/n #/n interface GigabitEthernet4/0/6/n- undo dcn/n #/n interface GigabitEthernet4/0/5/n- undo dcn/n #/n interface GigabitEthernet4/0/4/n- undo dcn/n #/n-pki domain default/n #/n/n,88260111,display configuration rollback result are still several differences as follow <*> <*> password <*> <*> password <*> # license active networkslice flexchannel slot active networkslice flexchannel slot active networkslice flexchannel slot active networkslice flexchannel slot active networkslice flexchannel slot active networkslice flexchannel slot # interface GigabitEthernet5 undo dcn # interface GigabitEthernet5 undo dcn # interface GigabitEthernet5 undo dcn # interface GigabitEthernet5 undo dcn # interface GigabitEthernet5 undo dcn # interface GigabitEthernet5 undo dcn # interface GigabitEthernet4 undo dcn # interface GigabitEthernet4 undo dcn # interface GigabitEthernet4 undo dcn # interface GigabitEthernet4 undo dcn # interface GigabitEthernet4 undo dcn # interface GigabitEthernet4 undo dcn # domain default #,[]
101,2,main,21/12/25 20:33:42 INFO mapreduce.Job: Job job_1668496639954_6827 running in uber mode : false/n,366b1c2b,21 INFO mapreduce.Job Job job__ running in uber mode,[]
102,2,main,21/12/25 20:33:42 INFO mapreduce.Job:  map 0% reduce 0%/n,5c255ec0,21 INFO mapreduce.Job map % reduce %,[]
103,2,main,21/12/25 20:33:49 INFO mapreduce.Job:  map 67% reduce 0%/n,5c255ec0,21 INFO mapreduce.Job map % reduce %,[]
104,2,main,21/12/25 20:33:55 INFO mapreduce.Job:  map 100% reduce 0%/n,5c255ec0,21 INFO mapreduce.Job map % reduce %,[]
105,2,main,21/12/25 20:33:58 INFO mapreduce.Job: Job job_1668496639954_6827 completed successfully/n,9fb1cd85,21 INFO mapreduce.Job Job job__ completed successfully,[]
106,2,main,21/12/25 20:33:58 INFO mapreduce.Job: Counters: 33/n	File System Counters/n		FILE: Number of bytes read=0/n		FILE: Number of bytes written=741919/n		FILE: Number of read operations=0/n		FILE: Number of large read operations=0/n		FILE: Number of write operations=0/n		HDFS: Number of bytes read=248/n		HDFS: Number of bytes written=12800000/n		HDFS: Number of read operations=18/n		HDFS: Number of large read operations=0/n		HDFS: Number of write operations=6/n	Job Counters /n		Launched map tasks=3/n		Other local map tasks=3/n		Total time spent by all maps in occupied slots (ms)=68226/n		Total time spent by all reduces in occupied slots (ms)=0/n		Total time spent by all map tasks (ms)=22742/n		Total vcore-milliseconds taken by all map tasks=22742/n		Total megabyte-milliseconds taken by all map tasks=69863424/n	Map-Reduce Framework/n		Map input records=128000/n		Map output records=128000/n		Input split bytes=248/n		Spilled Records=0/n		Failed Shuffles=0/n		Merged Map outputs=0/n		GC time elapsed (ms)=275/n		CPU time spent (ms)=7390/n		Physical memory (bytes) snapshot=1007579136/n		Virtual memory (bytes) snapshot=14031929344/n		Total committed heap usage (bytes)=1625817088/n		Peak Map Physical memory (bytes)=337891328/n		Peak Map Virtual memory (bytes)=4679204864/n	org.apache.hadoop.examples.job3.Gen$Counters/n		CHECKSUM=274499767025821/n	File Input Format Counters /n		Bytes Read=0/n	File Output Format Counters /n		Bytes Written=12800000/n/n,cfa74b2b,21 INFO mapreduce.Job Counters File System Counters FILE Number of bytes read FILE Number of bytes written FILE Number of read operations FILE Number of large read operations FILE Number of write operations HDFS Number of bytes read HDFS Number of bytes written HDFS Number of read operations HDFS Number of large read operations HDFS Number of write operations Job Counters Launched map tasks Other local map tasks Total time spent by all maps in occupied slots (ms) Total time spent by all reduces in occupied slots (ms) Total time spent by all map tasks (ms) Total vcoremilliseconds taken by all map tasks Total megabytemilliseconds taken by all map tasks MapReduce Framework Map input records Map output records Input split bytes Spilled Records Failed Shuffles Merged Map outputs GC time elapsed (ms) CPU time spent (ms) Physical memory (bytes) snapshot Virtual memory (bytes) snapshot Total committed heap usage (bytes) Peak Map Physical memory (bytes) Peak Map Virtual memory (bytes) CHECKSUM File Input Format Counters Bytes Read File Output Format Counters Bytes Written,[]
107,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display version/n,0015a174,[ .] ] <*> <*>,[]
108,2,main,"display version/nVersatile Routing Platform Software/nVRP (R) software, Version 9.220 (NE9000-20-LS V800R022C10)/nCopyright (C) 2011-2021 Technologies Co., Ltd./nNE9000-20 uptime is 1 day, 8 hours, 50 minutes/n/nNE9000-20-LS version information:/n---------------------------------------/nBKP version information:/nVMPU Slot Quantity: 4/nLPU Slot Quantity: 40/n---------------------------------------/nVMPU version information:/n/nVMPU (Master) 22: uptime is 0 day, 9 hours, 42 minutes/n Startup Time 2021/08/12 05:14:21/n SDRAM Memory Size :  12299 M bytes/n CFCARD Memory Size : 5125 M bytes/n VMPU CR9D0MPUQ180-VMPU version information:/n PCB  Version : VIRTUALMPU REV A/n/nVMPU (Master) 23: uptime is 0 day, 9 hours, 42 minutes/n Startup Time 2021/08/12 05:14:21/n SDRAM Memory Size :  12299 M bytes/n CFCARD Memory Size : 5125 M bytes/n VMPU CR9D0MPUQ180-VMPU version information:/n PCB  Version : VIRTUALMPU REV C/n---------------------------------------/nLPU version information:/n/nLPU 5: uptime is 1 day, 9 hours, 43 minutes/n  StartupTime 2021/08/12  10:41:55/n  Host processor:/n  SDRAM Memory Size  : 99897 M bytes/n  Flash Memory Size :256 M bytes/n  PCB  Version : VIRTUALMPU REV C /n  EPLD  Version : 103/n  FPGA  Version : 106/n  CHIP  Version : 115/n  CHIP2  Version : 115/n  FPGA  Version : 210/n  FPGA2  Version : 210/n  CHIP  Version : 005/n  CHIP2  Version : 005/n  Software Version: 12/n/nLPU 6: uptime is 1 day, 10 hours, 44 minutes/n  StartupTime 2021/08/12  10:41:55/n  Host processor:/n  SDRAM Memory Size  : 99897 M bytes/n  Flash Memory Size :256 M bytes/n  PCB  Version : VIRTUALMPU REV C /n  EPLD  Version : 103/n  FPGA  Version : 106/n  CHIP  Version : 115/n  CHIP2  Version : 115/n  FPGA  Version : 210/n  FPGA2  Version : 210/n  CHIP  Version : 005/n  CHIP2  Version : 005/n  Software Version: 12/n/nLPU 17: uptime is 1 day, 10 hours, 44 minutes/n  StartupTime 2021/08/12  10:41:55/n  Host processor:/n  SDRAM Memory Size  : 99897 M bytes/n  Flash Memory Size :256 M bytes/n  PCB  Version : VIRTUALMPU REV C /n  EPLD  Version : 103/n  FPGA  Version : 106/n  CHIP  Version : 115/n  CHIP2  Version : 115/n  FPGA  Version : 210/n  FPGA2  Version : 210/n  CHIP  Version : 005/n  CHIP2  Version : 005/n  Software Version: 12/n/n",660711f0,display version Routing Platform Software (R) software Version . ( V800R022C10) (C) Technologies Co. Ltd. uptime is day hours minutes version information version information Slot Quantity Slot Quantity version information (Master) uptime is day hours minutes Startup Time SDRAM Memory Size M bytes CFCARD Memory Size M bytes VMPU CR9D0MPUQ180VMPU version information PCB Version VIRTUALMPU REV A (Master) uptime is day hours minutes Startup Time SDRAM Memory Size M bytes CFCARD Memory Size M bytes VMPU CR9D0MPUQ180VMPU version information PCB Version VIRTUALMPU REV C version information uptime is day hours minutes StartupTime Host processor SDRAM Memory Size M bytes Flash Memory Size M bytes PCB Version VIRTUALMPU REV C EPLD Version FPGA Version CHIP Version CHIP2 Version FPGA Version FPGA2 Version CHIP Version CHIP2 Version Software Version uptime is day hours minutes StartupTime Host processor SDRAM Memory Size M bytes Flash Memory Size M bytes PCB Version VIRTUALMPU REV C EPLD Version FPGA Version CHIP Version CHIP2 Version FPGA Version FPGA2 Version CHIP Version CHIP2 Version Software Version uptime is day hours minutes StartupTime Host processor SDRAM Memory Size M bytes Flash Memory Size M bytes PCB Version VIRTUALMPU REV C EPLD Version FPGA Version CHIP Version CHIP2 Version FPGA Version FPGA2 Version CHIP Version CHIP2 Version Software Version,[]
109,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display ip routing-table all-routes/n,d78e6f2d,[ .] ] display ip routingtable allroutes,[]
